Descrição dos resultados obtidos,,,,,,,,,,,,
*IPE: Índice de Permanência Estrutural (%),,,,,,,,,,,,
Produto de classificação (SEM USO DE MÁSCARA),Tamanho do kernel (n X n),Exatidão Global,IPE* (EG[C. Original] / EG[Pontual]),,Kappa Global,Ac. Prod - Secondary Vegetation,Ac. Prod - Water,Ac. Prod - Dirt road,Ac. Prod - Forest,Ac. Prod - Clean Pasture,Ac. Prod - Dirty Pasture,
Mapa_classificação_contextual3X3_MPAD_60DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,60
Mapa_classificação_contextual3X3_MPAD_61DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,61
Mapa_classificação_contextual3X3_MPAD_62DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,62
Mapa_classificação_contextual3X3_MPAD_63DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,63
Mapa_classificação_contextual3X3_MPAD_64DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,64
Mapa_classificação_contextual3X3_MPAD_65DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,65
Mapa_classificação_contextual3X3_MPAD_66DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,66
Mapa_classificação_contextual3X3_MPAD_67DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,67
Mapa_classificação_contextual3X3_MPAD_68DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,68
Mapa_classificação_contextual3X3_MPAD_69DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,69
Mapa_classificação_contextual3X3_MPAD_70DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,70
Mapa_classificação_contextual3X3_MPAD_71DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,71
